,Company,Product,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Price_in_euros,CPU_Brand,CPU_Model,CPU_Speed,Memory_Capacity,Memory_Type,GPU_Brand,GPU_Model
755,7,85,3,0.4306760576205221,3,-0.05219293881478683,5,-0.25099561974503887,539.0,0.21971768720102047,0.10886844602137855,1.1947165540250941,0.04404189613675777,0.7492562251282361,-0.2828433358215006,-0.8798159482051419
618,4,107,1,0.4306760576205221,3,1.5344724011547306,5,0.846581631704627,879.01,0.21971768720102047,0.5108442467156985,0.5144721355634829,-0.6253949251419594,-1.1075961588852183,1.2805089203555207,0.36259769529899655
909,7,143,3,0.4306760576205221,3,-0.05219293881478683,5,0.019639866913782854,900.0,0.21971768720102047,0.5108442467156985,0.6845332401788857,-0.6253949251419594,-1.1075961588852183,1.2805089203555207,0.1037615195689677
2,1,124,4,-1.171072343912819,1,-0.05219293881478683,3,-1.0328314700927463,898.94,0.21971768720102047,0.30985634636853854,-1.186138910590545,-1.6295501570600353,1.6776824171349631,-0.2828433358215006,-0.41391083189108996
286,4,107,3,0.4306760576205221,3,-0.8455256087995455,2,0.33538126801574153,428.0,0.21971768720102047,0.10886844602137855,-0.6759555967443367,-0.6253949251419594,-1.1075961588852183,-1.8461955919985218,1.346175163073106
627,7,143,3,-0.6835836999678894,0,-0.05219293881478683,5,0.4255930969020156,1124.0,0.21971768720102047,0.30985634636853854,0.5144721355634829,0.04404189613675777,0.7492562251282361,-0.2828433358215006,-0.31037636159907844
142,7,72,3,-1.171072343912819,3,-0.8455256087995455,5,-1.0629020797215043,699.0,0.21971768720102047,0.30985634636853854,0.3444110309480801,0.04404189613675777,0.7492562251282361,-0.2828433358215006,-0.31037636159907844
19,10,105,3,0.4306760576205221,3,-0.05219293881478683,4,0.2602047439438469,499.0,0.21971768720102047,0.10886844602137855,0.004288821717274535,-0.6253949251419594,-1.1075961588852183,1.2805089203555207,0.20729598986097925
732,11,39,1,1.6145770500582102,3,-0.05219293881478683,5,1.0119699846627963,1348.48,0.21971768720102047,0.5108442467156985,0.8545943447942885,-1.6295501570600353,-1.1075961588852183,1.2805089203555207,2.226218160555204
440,10,170,5,0.4306760576205221,13,1.5344724011547306,5,0.4105577920876362,2445.0,0.21971768720102047,0.5108442467156985,0.8545943447942885,1.7176339493335506,0.7492562251282361,1.2805089203555207,0.20729598986097925
275,1,123,4,-1.171072343912819,10,-0.05219293881478683,3,-0.9877255556496093,1958.9,0.21971768720102047,0.30985634636853854,1.0246554494096913,1.7176339493335506,0.7492562251282361,-0.2828433358215006,-0.620979772475113
595,10,106,3,0.4306760576205221,0,0.7411397311699719,5,0.2602047439438469,609.0,0.21971768720102047,0.5108442467156985,-1.186138910590545,-0.6253949251419594,-1.1075961588852183,-0.2828433358215006,-0.31037636159907844
575,10,105,3,0.4306760576205221,3,-0.8455256087995455,5,0.2602047439438469,344.0,0.21971768720102047,-0.4940952550201013,-2.2065055382829617,1.0481971280548334,-1.1075961588852183,-0.2828433358215006,-1.0351176536431592
413,16,138,4,-1.171072343912819,3,1.5344724011547306,5,-1.2433257374940523,1747.0,0.21971768720102047,0.5108442467156985,0.3444110309480801,1.7176339493335506,0.7492562251282361,-0.2828433358215006,-0.8798159482051419
29,4,120,4,0.4306760576205221,3,-0.05219293881478683,5,-0.22092501011628118,1298.0,0.21971768720102047,0.5108442467156985,-0.8460167013597394,0.04404189613675777,0.7492562251282361,-0.2828433358215006,-0.31037636159907844
792,10,105,3,0.4306760576205221,0,-0.05219293881478683,4,0.2602047439438469,329.0,0.21971768720102047,-0.4940952550201013,-1.356200015205948,-0.6253949251419594,-1.1075961588852183,-0.2828433358215006,2.485054336285233
358,11,41,1,1.6145770500582102,3,-0.05219293881478683,5,1.0119699846627963,1409.0,0.21971768720102047,0.5108442467156985,0.8545943447942885,-1.6295501570600353,-1.1075961588852183,1.2805089203555207,-0.10330742101505536
728,10,195,4,-0.6835836999678894,9,-0.05219293881478683,5,-1.2884316519371892,1686.64,0.21971768720102047,0.5108442467156985,0.3444110309480801,1.7176339493335506,0.7492562251282361,-0.2828433358215006,-0.8798159482051419
1256,11,34,1,0.4306760576205221,3,-0.05219293881478683,5,0.4105577920876362,1169.0,0.21971768720102047,0.5108442467156985,0.5144721355634829,-1.6295501570600353,-1.1075961588852183,1.2805089203555207,0.41436493044500233
